discipline_title;slug_game;event_title;event_gender;medal_type;participant_type;country_3_letter_code;";"
Curling;beijing-2022;Mixed Doubles;Mixed;GOLD;GameTeam;ITA;
Curling;beijing-2022;Mixed Doubles;Mixed;SILVER;GameTeam;NOR;
Curling;beijing-2022;Mixed Doubles;Mixed;BRONZE;GameTeam;SWE;
Curling;beijing-2022;Women;Women;GOLD;GameTeam;GBR;
Curling;beijing-2022;Women;Women;SILVER;GameTeam;JPN;
Curling;beijing-2022;Women;Women;BRONZE;GameTeam;SWE;
Curling;beijing-2022;Men;Men;GOLD;GameTeam;SWE;
Curling;beijing-2022;Men;Men;SILVER;GameTeam;GBR;
Curling;beijing-2022;Men;Men;BRONZE;GameTeam;CAN;
Freestyle Skiing;beijing-2022;Men's Moguls;Men;SILVER;Athlete;CAN;
Freestyle Skiing;beijing-2022;Men's Moguls;Men;GOLD;Athlete;SWE;
Freestyle Skiing;beijing-2022;Men's Moguls;Men;BRONZE;Athlete;JPN;
Freestyle Skiing;beijing-2022;Men's Freeski Halfpipe;Men;GOLD;Athlete;NZL;
Freestyle Skiing;beijing-2022;Men's Freeski Halfpipe;Men;SILVER;Athlete;USA;
Freestyle Skiing;beijing-2022;Men's Freeski Halfpipe;Men;BRONZE;Athlete;USA;
Freestyle Skiing;beijing-2022;Men's Freeski Big Air;Men;BRONZE;Athlete;SWE;
Freestyle Skiing;beijing-2022;Men's Freeski Big Air;Men;GOLD;Athlete;NOR;
Freestyle Skiing;beijing-2022;Men's Freeski Big Air;Men;SILVER;Athlete;USA;
Freestyle Skiing;beijing-2022;Men's Ski Cross;Men;BRONZE;Athlete;ROC;
Freestyle Skiing;beijing-2022;Men's Ski Cross;Men;SILVER;Athlete;SUI;
Freestyle Skiing;beijing-2022;Men's Ski Cross;Men;GOLD;Athlete;SUI;
Freestyle Skiing;beijing-2022;Women's Freeski Big Air;Women;BRONZE;Athlete;SUI;
Freestyle Skiing;beijing-2022;Women's Freeski Big Air;Women;GOLD;Athlete;CHN;
Freestyle Skiing;beijing-2022;Women's Freeski Big Air;Women;SILVER;Athlete;FRA;
Freestyle Skiing;beijing-2022;Women's Moguls;Women;SILVER;Athlete;USA;
Freestyle Skiing;beijing-2022;Women's Moguls;Women;GOLD;Athlete;AUS;
Freestyle Skiing;beijing-2022;Women's Moguls;Women;BRONZE;Athlete;ROC;
Freestyle Skiing;beijing-2022;Mixed Team Aerials;Mixed;GOLD;GameTeam;USA;
Freestyle Skiing;beijing-2022;Mixed Team Aerials;Mixed;SILVER;GameTeam;CHN;
Freestyle Skiing;beijing-2022;Mixed Team Aerials;Mixed;BRONZE;GameTeam;CAN;
Freestyle Skiing;beijing-2022;Women's Ski Cross;Women;SILVER;Athlete;CAN;
Freestyle Skiing;beijing-2022;Women's Ski Cross;Women;GOLD;Athlete;SWE;
Freestyle Skiing;beijing-2022;Women's Ski Cross;Women;BRONZE;Athlete;GER;
Freestyle Skiing;beijing-2022;Men's Aerials;Men;BRONZE;Athlete;ROC;
Freestyle Skiing;beijing-2022;Men's Aerials;Men;GOLD;Athlete;CHN;
Freestyle Skiing;beijing-2022;Men's Aerials;Men;SILVER;Athlete;UKR;
Freestyle Skiing;beijing-2022;Women's Aerials;Women;SILVER;Athlete;BLR;
Freestyle Skiing;beijing-2022;Women's Aerials;Women;GOLD;Athlete;CHN;
Freestyle Skiing;beijing-2022;Women's Aerials;Women;BRONZE;Athlete;USA;
Freestyle Skiing;beijing-2022;Women's Freeski Halfpipe;Women;SILVER;Athlete;CAN;
Freestyle Skiing;beijing-2022;Women's Freeski Halfpipe;Women;GOLD;Athlete;CHN;
Freestyle Skiing;beijing-2022;Women's Freeski Halfpipe;Women;BRONZE;Athlete;CAN;
Freestyle Skiing;beijing-2022;Women's Freeski Slopestyle;Women;SILVER;Athlete;CHN;
Freestyle Skiing;beijing-2022;Women's Freeski Slopestyle;Women;GOLD;Athlete;SUI;
Freestyle Skiing;beijing-2022;Women's Freeski Slopestyle;Women;BRONZE;Athlete;EST;
Freestyle Skiing;beijing-2022;Men's Freeski Slopestyle;Men;SILVER;Athlete;USA;
Freestyle Skiing;beijing-2022;Men's Freeski Slopestyle;Men;BRONZE;Athlete;SWE;
Freestyle Skiing;beijing-2022;Men's Freeski Slopestyle;Men;GOLD;Athlete;USA;
Short Track Speed Skating;beijing-2022;Women's 500m;Women;SILVER;Athlete;NED;
Short Track Speed Skating;beijing-2022;Women's 500m;Women;BRONZE;Athlete;CAN;
Short Track Speed Skating;beijing-2022;Women's 500m;Women;GOLD;Athlete;ITA;
Short Track Speed Skating;beijing-2022;Men's 500m;Men;BRONZE;Athlete;CAN;
Short Track Speed Skating;beijing-2022;Men's 500m;Men;GOLD;Athlete;HUN;
Short Track Speed Skating;beijing-2022;Men's 500m;Men;SILVER;Athlete;ROC;
Short Track Speed Skating;beijing-2022;Men's 5000m Relay;Men;GOLD;GameTeam;CAN;
Short Track Speed Skating;beijing-2022;Men's 5000m Relay;Men;SILVER;GameTeam;KOR;
Short Track Speed Skating;beijing-2022;Men's 5000m Relay;Men;BRONZE;GameTeam;ITA;
Short Track Speed Skating;beijing-2022;Team Relay;Mixed;GOLD;GameTeam;CHN;
Short Track Speed Skating;beijing-2022;Team Relay;Mixed;SILVER;GameTeam;ITA;
Short Track Speed Skating;beijing-2022;Team Relay;Mixed;BRONZE;GameTeam;HUN;
Short Track Speed Skating;beijing-2022;Men's 1500m;Men;BRONZE;Athlete;ROC;
